TransactionID,DateKey,AccountKey,DepartmentKey,CostCenterKey,EntityKey,TransactionType,Amount,BudgetAmount,Description,FiscalYear,FiscalQuarter
TXN-00001,20240101,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,125000.00,120000.00,Product Sales - Q1,2024,Q1
TXN-00002,20240101,ACC-1002,DEPT-01,CC-101,ENT-001,Revenue,45000.00,40000.00,Service Revenue - Jan,2024,Q1
TXN-00003,20240102,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,18500.00,20000.00,Salaries & Wages,2024,Q1
TXN-00004,20240102,ACC-2002,DEPT-02,CC-201,ENT-001,Expense,3200.00,3500.00,Office Supplies,2024,Q1
TXN-00005,20240103,ACC-2003,DEPT-03,CC-301,ENT-001,Expense,9800.00,10000.00,Marketing Campaigns,2024,Q1
TXN-00006,20240105,ACC-1001,DEPT-01,CC-101,ENT-002,Revenue,98000.00,95000.00,Product Sales - West,2024,Q1
TXN-00007,20240105,ACC-2004,DEPT-04,CC-401,ENT-001,Expense,22000.00,25000.00,IT Infrastructure,2024,Q1
TXN-00008,20240108,ACC-1003,DEPT-01,CC-102,ENT-001,Revenue,67500.00,65000.00,Consulting Fees,2024,Q1
TXN-00009,20240110,ACC-2001,DEPT-02,CC-202,ENT-002,Expense,21000.00,22000.00,Salaries & Wages - West,2024,Q1
TXN-00010,20240112,ACC-2005,DEPT-05,CC-501,ENT-001,Expense,5500.00,5000.00,Travel & Entertainment,2024,Q1
TXN-00011,20240115,ACC-1004,DEPT-01,CC-101,ENT-001,Revenue,210000.00,200000.00,Enterprise License Deal,2024,Q1
TXN-00012,20240115,ACC-3001,DEPT-06,CC-601,ENT-001,Expense,15000.00,15000.00,Depreciation,2024,Q1
TXN-00013,20240118,ACC-2003,DEPT-03,CC-302,ENT-002,Expense,12000.00,12500.00,Digital Advertising,2024,Q1
TXN-00014,20240120,ACC-1002,DEPT-01,CC-102,ENT-001,Revenue,38000.00,35000.00,Support Contracts,2024,Q1
TXN-00015,20240122,ACC-2006,DEPT-04,CC-402,ENT-001,Expense,8700.00,9000.00,Software Licenses,2024,Q1
TXN-00016,20240125,ACC-1001,DEPT-01,CC-101,ENT-003,Revenue,145000.00,140000.00,Product Sales - East,2024,Q1
TXN-00017,20240128,ACC-2002,DEPT-02,CC-201,ENT-001,Expense,2800.00,3000.00,Office Rent,2024,Q1
TXN-00018,20240130,ACC-2007,DEPT-05,CC-501,ENT-001,Expense,4200.00,4500.00,Professional Services,2024,Q1
TXN-00019,20240201,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,132000.00,130000.00,Product Sales - Feb,2024,Q1
TXN-00020,20240201,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,18500.00,20000.00,Salaries & Wages,2024,Q1
TXN-00021,20240205,ACC-1003,DEPT-01,CC-102,ENT-001,Revenue,72000.00,68000.00,Consulting Fees - Feb,2024,Q1
TXN-00022,20240208,ACC-2003,DEPT-03,CC-301,ENT-001,Expense,11500.00,12000.00,Marketing - Feb,2024,Q1
TXN-00023,20240210,ACC-1002,DEPT-01,CC-101,ENT-002,Revenue,52000.00,50000.00,Service Revenue - Feb,2024,Q1
TXN-00024,20240212,ACC-2004,DEPT-04,CC-401,ENT-001,Expense,19500.00,20000.00,IT Support,2024,Q1
TXN-00025,20240215,ACC-1005,DEPT-01,CC-101,ENT-001,Revenue,88000.00,85000.00,New Contract Revenue,2024,Q1
TXN-00026,20240218,ACC-2005,DEPT-05,CC-501,ENT-001,Expense,6200.00,6000.00,Travel Expenses,2024,Q1
TXN-00027,20240220,ACC-2001,DEPT-02,CC-202,ENT-003,Expense,20000.00,21000.00,Salaries - East,2024,Q1
TXN-00028,20240222,ACC-1004,DEPT-01,CC-102,ENT-001,Revenue,175000.00,170000.00,Enterprise Deal - Feb,2024,Q1
TXN-00029,20240225,ACC-3001,DEPT-06,CC-601,ENT-001,Expense,15000.00,15000.00,Depreciation,2024,Q1
TXN-00030,20240228,ACC-2006,DEPT-04,CC-402,ENT-002,Expense,7800.00,8000.00,Cloud Services,2024,Q1
TXN-00031,20240301,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,148000.00,145000.00,Product Sales - Mar,2024,Q1
TXN-00032,20240301,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,18500.00,20000.00,Salaries & Wages,2024,Q1
TXN-00033,20240305,ACC-1002,DEPT-01,CC-101,ENT-003,Revenue,61000.00,58000.00,Service Revenue - East,2024,Q1
TXN-00034,20240308,ACC-2007,DEPT-05,CC-501,ENT-001,Expense,5100.00,5500.00,Consulting Fees,2024,Q1
TXN-00035,20240310,ACC-1003,DEPT-01,CC-102,ENT-001,Revenue,79000.00,75000.00,Consulting - Mar,2024,Q1
TXN-00036,20240312,ACC-2003,DEPT-03,CC-302,ENT-001,Expense,13200.00,13000.00,Trade Show,2024,Q1
TXN-00037,20240315,ACC-1005,DEPT-01,CC-101,ENT-002,Revenue,95000.00,90000.00,New Contracts - West,2024,Q1
TXN-00038,20240318,ACC-2004,DEPT-04,CC-401,ENT-001,Expense,23500.00,24000.00,IT Projects,2024,Q1
TXN-00039,20240320,ACC-1004,DEPT-01,CC-102,ENT-001,Revenue,195000.00,190000.00,Enterprise Deal - Mar,2024,Q1
TXN-00040,20240325,ACC-2002,DEPT-02,CC-201,ENT-001,Expense,3100.00,3200.00,Office Supplies,2024,Q1
TXN-00041,20240401,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,155000.00,150000.00,Product Sales - Apr,2024,Q2
TXN-00042,20240401,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,19000.00,20000.00,Salaries & Wages,2024,Q2
TXN-00043,20240405,ACC-1002,DEPT-01,CC-101,ENT-001,Revenue,55000.00,52000.00,Service Revenue - Apr,2024,Q2
TXN-00044,20240410,ACC-2003,DEPT-03,CC-301,ENT-001,Expense,14000.00,14000.00,Marketing - Apr,2024,Q2
TXN-00045,20240415,ACC-1004,DEPT-01,CC-102,ENT-001,Revenue,220000.00,215000.00,Enterprise Deal - Apr,2024,Q2
TXN-00046,20240418,ACC-2004,DEPT-04,CC-401,ENT-002,Expense,21000.00,22000.00,IT Services,2024,Q2
TXN-00047,20240420,ACC-1003,DEPT-01,CC-101,ENT-001,Revenue,85000.00,80000.00,Consulting - Apr,2024,Q2
TXN-00048,20240422,ACC-2005,DEPT-05,CC-501,ENT-001,Expense,7500.00,7000.00,T&E - Apr,2024,Q2
TXN-00049,20240425,ACC-1005,DEPT-01,CC-102,ENT-003,Revenue,102000.00,98000.00,New Contracts - East,2024,Q2
TXN-00050,20240428,ACC-3001,DEPT-06,CC-601,ENT-001,Expense,15000.00,15000.00,Depreciation,2024,Q2
TXN-00051,20240501,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,162000.00,158000.00,Product Sales - May,2024,Q2
TXN-00052,20240501,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,19000.00,20000.00,Salaries,2024,Q2
TXN-00053,20240508,ACC-1002,DEPT-01,CC-101,ENT-002,Revenue,59000.00,56000.00,Service Revenue - May,2024,Q2
TXN-00054,20240512,ACC-2006,DEPT-04,CC-402,ENT-001,Expense,9200.00,9500.00,Software Renewals,2024,Q2
TXN-00055,20240515,ACC-1004,DEPT-01,CC-102,ENT-001,Revenue,235000.00,225000.00,Enterprise - May,2024,Q2
TXN-00056,20240518,ACC-2003,DEPT-03,CC-301,ENT-001,Expense,15500.00,15000.00,Marketing - May,2024,Q2
TXN-00057,20240520,ACC-1003,DEPT-01,CC-101,ENT-003,Revenue,91000.00,87000.00,Consulting - May,2024,Q2
TXN-00058,20240522,ACC-2007,DEPT-05,CC-501,ENT-001,Expense,5800.00,5500.00,Professional Svcs,2024,Q2
TXN-00059,20240525,ACC-1005,DEPT-01,CC-102,ENT-001,Revenue,115000.00,110000.00,New Contracts - May,2024,Q2
TXN-00060,20240528,ACC-2002,DEPT-02,CC-202,ENT-001,Expense,3400.00,3500.00,Office Expenses,2024,Q2
TXN-00061,20240601,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,171000.00,165000.00,Product Sales - Jun,2024,Q2
TXN-00062,20240601,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,19000.00,20000.00,Salaries,2024,Q2
TXN-00063,20240605,ACC-1002,DEPT-01,CC-101,ENT-001,Revenue,63000.00,60000.00,Service Revenue - Jun,2024,Q2
TXN-00064,20240610,ACC-2004,DEPT-04,CC-401,ENT-001,Expense,24000.00,24000.00,IT Projects - Q2,2024,Q2
TXN-00065,20240615,ACC-1004,DEPT-01,CC-102,ENT-002,Revenue,248000.00,240000.00,Enterprise - Jun,2024,Q2
TXN-00066,20240618,ACC-2003,DEPT-03,CC-302,ENT-001,Expense,16500.00,16000.00,Marketing - Jun,2024,Q2
TXN-00067,20240620,ACC-1003,DEPT-01,CC-101,ENT-001,Revenue,96000.00,92000.00,Consulting - Jun,2024,Q2
TXN-00068,20240622,ACC-3001,DEPT-06,CC-601,ENT-001,Expense,15000.00,15000.00,Depreciation,2024,Q2
TXN-00069,20240625,ACC-1005,DEPT-01,CC-102,ENT-003,Revenue,122000.00,118000.00,New Contracts - Jun,2024,Q2
TXN-00070,20240628,ACC-2005,DEPT-05,CC-501,ENT-001,Expense,8100.00,8000.00,T&E - Jun,2024,Q2
TXN-00071,20240701,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,178000.00,172000.00,Product Sales - Jul,2024,Q3
TXN-00072,20240701,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,19500.00,20000.00,Salaries,2024,Q3
TXN-00073,20240708,ACC-1002,DEPT-01,CC-101,ENT-001,Revenue,68000.00,64000.00,Service Revenue - Jul,2024,Q3
TXN-00074,20240712,ACC-2004,DEPT-04,CC-401,ENT-001,Expense,22500.00,23000.00,IT Operations,2024,Q3
TXN-00075,20240715,ACC-1004,DEPT-01,CC-102,ENT-001,Revenue,262000.00,255000.00,Enterprise - Jul,2024,Q3
TXN-00076,20240718,ACC-2003,DEPT-03,CC-301,ENT-002,Expense,17000.00,17000.00,Marketing - Jul,2024,Q3
TXN-00077,20240720,ACC-1003,DEPT-01,CC-101,ENT-001,Revenue,101000.00,97000.00,Consulting - Jul,2024,Q3
TXN-00078,20240722,ACC-2006,DEPT-04,CC-402,ENT-001,Expense,9800.00,10000.00,Software & Tools,2024,Q3
TXN-00079,20240725,ACC-1005,DEPT-01,CC-102,ENT-001,Revenue,131000.00,125000.00,New Contracts - Jul,2024,Q3
TXN-00080,20240728,ACC-3001,DEPT-06,CC-601,ENT-001,Expense,15000.00,15000.00,Depreciation,2024,Q3
TXN-00081,20240801,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,185000.00,178000.00,Product Sales - Aug,2024,Q3
TXN-00082,20240801,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,19500.00,20000.00,Salaries,2024,Q3
TXN-00083,20240808,ACC-1002,DEPT-01,CC-101,ENT-003,Revenue,72000.00,68000.00,Service Revenue - Aug,2024,Q3
TXN-00084,20240812,ACC-2007,DEPT-05,CC-501,ENT-001,Expense,6100.00,6000.00,Professional Svcs,2024,Q3
TXN-00085,20240815,ACC-1004,DEPT-01,CC-102,ENT-001,Revenue,275000.00,265000.00,Enterprise - Aug,2024,Q3
TXN-00086,20240818,ACC-2003,DEPT-03,CC-302,ENT-001,Expense,18000.00,17500.00,Marketing - Aug,2024,Q3
TXN-00087,20240820,ACC-1003,DEPT-01,CC-101,ENT-002,Revenue,108000.00,103000.00,Consulting - Aug,2024,Q3
TXN-00088,20240822,ACC-2002,DEPT-02,CC-201,ENT-001,Expense,3600.00,3500.00,Office Supplies,2024,Q3
TXN-00089,20240825,ACC-1005,DEPT-01,CC-102,ENT-001,Revenue,138000.00,132000.00,New Contracts - Aug,2024,Q3
TXN-00090,20240828,ACC-2005,DEPT-05,CC-501,ENT-001,Expense,8900.00,8500.00,T&E - Aug,2024,Q3
TXN-00091,20240901,ACC-1001,DEPT-01,CC-101,ENT-001,Revenue,191000.00,184000.00,Product Sales - Sep,2024,Q3
TXN-00092,20240901,ACC-2001,DEPT-02,CC-201,ENT-001,Expense,19500.00,20000.00,Salaries,2024,Q3
TXN-00093,20240908,ACC-1002,DEPT-01,CC-101,ENT-001,Revenue,77000.00,72000.00,Service Revenue - Sep,2024,Q3
TXN-00094,20240912,ACC-2004,DEPT-04,CC-401,ENT-001,Expense,25000.00,25000.00,IT Projects - Q3,2024,Q3
TXN-00095,20240915,ACC-1004,DEPT-01,CC-102,ENT-003,Revenue,289000.00,278000.00,Enterprise - Sep,2024,Q3
TXN-00096,20240918,ACC-2003,DEPT-03,CC-301,ENT-001,Expense,19000.00,18500.00,Marketing - Sep,2024,Q3
TXN-00097,20240920,ACC-1003,DEPT-01,CC-101,ENT-001,Revenue,113000.00,108000.00,Consulting - Sep,2024,Q3
TXN-00098,20240922,ACC-3001,DEPT-06,CC-601,ENT-001,Expense,15000.00,15000.00,Depreciation,2024,Q3
TXN-00099,20240925,ACC-1005,DEPT-01,CC-102,ENT-002,Revenue,145000.00,138000.00,New Contracts - Sep,2024,Q3
TXN-00100,20240928,ACC-2006,DEPT-04,CC-402,ENT-001,Expense,10500.00,10500.00,Cloud & Hosting,2024,Q3
